time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m
2013-05-13 0000,0,0,0,0,0,25.19,0.28
2013-05-13 0100,0,0,0,0,0,25.02,0.41
2013-05-13 0200,0,0,0,0,0,23.77,0.21
2013-05-13 0300,0,0,0,0,0,23.43,0.34
2013-05-13 0400,0,0,0,0,0,23,0.41
2013-05-13 0500,0,0,0,0,0,22.9,0.34
2013-05-13 0600,0,0,0,0,0,22.81,0.14
2013-05-13 0700,7.8,0,20.99,0,10.04,23.34,0.21
2013-05-13 0800,125.51,0,173.88,0.01,24.26,24.91,1.03
2013-05-13 0900,296.85,103.45,286.05,0.03,38.41,26.14,1.45
2013-05-13 1000,555.34,571,169.41,0.06,52.29,27.71,1.24
2013-05-13 1100,648.91,722.19,163.7,0.07,65.32,28.59,1.17
2013-05-13 1200,676.13,743.63,194.76,0.08,75.01,29.52,1.03
2013-05-13 1300,597.32,475.27,350.71,0.07,73.58,30.33,0.9
2013-05-13 1400,648.93,784.56,109.33,0.07,62.72,30.19,1.1
2013-05-13 1500,542.98,616.82,119.29,0.06,49.42,30.49,0.97
2013-05-13 1600,380.25,364.51,146.17,0.04,35.46,30.02,0.69
2013-05-13 1700,200.31,177.54,106.24,0.02,21.29,28.79,0.34
2013-05-13 1800,22.15,0,42.97,0,7.06,28.2,0.48
2013-05-13 1900,0,0,0,0,0,27.05,0.48
2013-05-13 2000,0,0,0,0,0,26.19,0.62
2013-05-13 2100,0,0,0,0,0,25.66,0.76
2013-05-13 2200,0,0,0,0,0,25.45,0.55
2013-05-13 2300,0,0,0,0,0,25.37,0.34
2013-05-14 0000,0,0,0,0,0,24.4,0.48
2013-05-14 0100,0,0,0,0,0,23.9,0.48
2013-05-14 0200,0,0,0,0,0,24.36,0.62
2013-05-14 0300,0,0,0,0,0,24.04,0.55
2013-05-14 0400,0,0,0,0,0,24.15,0.28
2013-05-14 0500,0,0,0,0,0,23.74,0.28
2013-05-14 0600,0,0,0,0,0,23.41,0.34
2013-05-14 0700,72.7,0,107.92,0.01,10.04,23.94,0.14
2013-05-14 0800,18.93,0,37.97,0,24.25,25.46,0
2013-05-14 0900,245.86,47.81,281.5,0.03,38.38,27.42,0.41
2013-05-14 1000,418.46,199.46,361.73,0.05,52.22,28.54,0.62
2013-05-14 1100,423.66,131.19,441.23,0.05,65.19,29.6,0.83
2013-05-14 1200,584.92,436.01,374.55,0.07,74.79,30.43,0.76
2013-05-14 1300,485.89,205.91,461.16,0.05,73.38,30.8,0.69
2013-05-14 1400,408.52,126.77,431.44,0.04,62.61,30.73,0.34
2013-05-14 1500,463.66,357.34,274.01,0.05,49.36,30.84,0.48
2013-05-14 1600,223.39,43.45,258.73,0.02,35.43,29.01,0.62
2013-05-14 1700,25.14,0,46.98,0,21.27,27.16,0.28
2013-05-14 1800,0.05,0,6,0,7.06,26.11,0.14
2013-05-14 1900,0,0,0,0,0,25.91,0.48
2013-05-14 2000,0,0,0,0,0,25.82,0.28
2013-05-14 2100,0,0,0,0,0,25.07,0.48
2013-05-14 2200,0,0,0,0,0,24.82,0.83
2013-05-14 2300,0,0,0,0,0,24.45,0.76
2013-05-15 0000,0,0,0,0,0,24.42,0.55
2013-05-15 0100,0,0,0,0,0,23.77,0.48
2013-05-15 0200,0,0,0,0,0,24.55,0.34
2013-05-15 0300,0,0,0,0,0,24.54,0.34
2013-05-15 0400,0,0,0,0,0,24.46,0.14
2013-05-15 0500,0,0,0,0,0,23.95,0.41
2013-05-15 0600,0,0,0,0,0,23.3,0.55
2013-05-15 0700,7.76,0,20.99,0,10.05,24.1,0.41
2013-05-15 0800,41.79,0,68.95,0.01,24.24,25.59,0.76
2013-05-15 0900,145.69,1.95,198.91,0.02,38.34,26.9,0.83
2013-05-15 1000,174.8,0,238.9,0.02,52.14,27.83,0.62
2013-05-15 1100,551.2,418.16,342.35,0.06,65.06,29.21,0.28
2013-05-15 1200,526.63,296.55,435.78,0.06,74.57,30.38,0.21
2013-05-15 1300,521.02,286.05,435.94,0.06,73.18,31.28,0.55
2013-05-15 1400,514.36,318.85,376.97,0.06,62.5,27.93,0.62
2013-05-15 1500,445.67,282.04,310.07,0.05,49.29,27.16,0.76
2013-05-15 1600,175.05,11.85,225.87,0.02,35.4,27.06,0.97
2013-05-15 1700,12.71,0,28.99,0,21.27,26.84,0.76
2013-05-15 1800,11.49,0,26.98,0,7.08,25.43,0.41
2013-05-15 1900,0,0,0,0,0,25.24,0.62
2013-05-15 2000,0,0,0,0,0,25.07,0.21
2013-05-15 2100,0,0,0,0,0,24.96,0.28
2013-05-15 2200,0,0,0,0,0,24.75,0.34
2013-05-15 2300,0,0,0,0,0,23.92,0.55
2013-05-16 0000,0,0,0,0,0,23.69,0.55
2013-05-16 0100,0,0,0,0,0,23.32,0.48
2013-05-16 0200,0,0,0,0,0,23.19,0
2013-05-16 0300,0,0,0,0,0,23.05,0.07
2013-05-16 0400,0,0,0,0,0,22.83,0.28
2013-05-16 0500,0,0,0,0,0,22.8,0.41
2013-05-16 0600,0,0,0,0,0,22.79,0.41
2013-05-16 0700,7.82,0,20.99,0,10.05,23,0.9
2013-05-16 0800,87.31,0,125.91,0.01,24.22,24.11,1.31
2013-05-16 0900,258.87,56.56,283.42,0.03,38.3,25.19,1.38
2013-05-16 1000,280.81,27.5,342.71,0.03,52.07,26.1,1.38
2013-05-16 1100,493.13,235.66,419.77,0.05,64.94,27.2,1.45
2013-05-16 1200,645.04,593,284.47,0.07,74.36,27.8,1.31
2013-05-16 1300,620.36,540.33,310.64,0.07,72.98,28.93,1.03
2013-05-16 1400,598.9,586.1,232.86,0.07,62.39,28.41,0.69
2013-05-16 1500,447.96,295.83,303.03,0.05,49.23,28.16,0.69
2013-05-16 1600,375.4,342.48,157.09,0.04,35.37,28.05,0.62
2013-05-16 1700,171.4,95.01,144.38,0.02,21.26,26.96,0.55
2013-05-16 1800,22.35,0,42.97,0,7.09,26.57,0.62
2013-05-16 1900,0,0,0,0,0,25.91,0.97
2013-05-16 2000,0,0,0,0,0,25,0.69
2013-05-16 2100,0,0,0,0,0,25.24,0.48
2013-05-16 2200,0,0,0,0,0,24.88,0.55
2013-05-16 2300,0,0,0,0,0,23.99,0.76
2013-05-17 0000,0,0,0,0,0,23.15,0.69
2013-05-17 0100,0,0,0,0,0,23.04,0.48
2013-05-17 0200,0,0,0,0,0,23.98,0.69
2013-05-17 0300,0,0,0,0,0,23.76,0.76
2013-05-17 0400,0,0,0,0,0,23.69,0.62
2013-05-17 0500,0,0,0,0,0,23.73,0.34
2013-05-17 0600,0,0,0,0,0,23.28,0.62
2013-05-17 0700,7.79,0,20.99,0,10.05,23.54,0.69
2013-05-17 0800,14.26,0,30.98,0,24.2,24,0.83
2013-05-17 0900,28.29,0,50.98,0,38.25,25.51,0.48
2013-05-17 1000,239.55,10.8,309.82,0.03,52,26.76,0.48
2013-05-17 1100,89.53,0,130.95,0.01,64.81,27.75,0.62
2013-05-17 1200,270.14,5.93,358.84,0.03,74.14,29.07,0.55
2013-05-17 1300,140.56,0,196.92,0.02,72.79,29.6,0.76
2013-05-17 1400,125.21,0,175.93,0.01,62.28,27.22,0.14
2013-05-17 1500,146.68,0,202.92,0.02,49.18,27.1,0.21
2013-05-17 1600,27.31,0,49.98,0,35.34,27.23,0.69
2013-05-17 1700,57.68,0,89.96,0.01,21.25,26.85,0.62
2013-05-17 1800,3.13,0,12.99,0,7.1,26.45,0.34
2013-05-17 1900,0,0,0,0,0,25.41,0.55
2013-05-17 2000,0,0,0,0,0,24.82,0.48
2013-05-17 2100,0,0,0,0,0,24.5,0.34
2013-05-17 2200,0,0,0,0,0,24.46,0.21
2013-05-17 2300,0,0,0,0,0,24.41,0.34
2013-05-18 0000,0,0,0,0,0,24.26,0.28
2013-05-18 0100,0,0,0,0,0,23.74,0.07
2013-05-18 0200,0,0,0,0,0,23.02,0.48
2013-05-18 0300,0,0,0,0,0,22.89,0.41
2013-05-18 0400,0,0,0,0,0,22.81,0.28
2013-05-18 0500,0,0,0,0,0,22.57,0.34
2013-05-18 0600,0,0,0,0,0,22.44,0.34
2013-05-18 0700,53.28,0,82.94,0.01,10.05,22.88,0.41
2013-05-18 0800,62.41,0,94.93,0.01,24.18,24.05,0.48
2013-05-18 0900,432.06,459.04,110.4,0.05,38.21,26,0.62
2013-05-18 1000,575.46,674.46,97.84,0.06,51.92,27.33,0.83
2013-05-18 1100,658.41,783.62,117.9,0.07,64.68,28.48,1.03
2013-05-18 1200,680.97,779.54,165.8,0.08,73.93,29.25,0.97
2013-05-18 1300,563.51,379.88,392.71,0.06,72.61,29.66,0.9
2013-05-18 1400,621.7,695.73,162.02,0.07,62.18,30.65,0.97
2013-05-18 1500,546.02,639.87,100.31,0.06,49.12,30.02,0.83
2013-05-18 1600,354.44,278.17,193.04,0.04,35.31,29.31,1.31
2013-05-18 1700,98.36,8.81,133.9,0.01,21.25,28.04,0.9
2013-05-18 1800,17.39,0,35.97,0,7.12,27.19,0.55
2013-05-18 1900,0,0,0,0,0,26.41,0.41
2013-05-18 2000,0,0,0,0,0,25.27,0.48
2013-05-18 2100,0,0,0,0,0,24.74,0.83
2013-05-18 2200,0,0,0,0,0,24.28,0.97
2013-05-18 2300,0,0,0,0,0,23.8,0.83
2013-05-19 0000,0,0,0,0,0,23,0.69
2013-05-19 0100,0,0,0,0,0,23.53,0.34
2013-05-19 0200,0,0,0,0,0,24.29,0.14
2013-05-19 0300,0,0,0,0,0,23.54,0.21
2013-05-19 0400,0,0,0,0,0,23.37,0.07
2013-05-19 0500,0,0,0,0,0,22.41,0.41
2013-05-19 0600,0,0,0,0,0,22.34,0.34
2013-05-19 0700,7.8,0,20.99,0,10.05,23.31,0.07
2013-05-19 0800,105.27,0,148.89,0.01,24.15,24.5,0.21
2013-05-19 0900,369.9,266.97,223.08,0.04,38.16,26.56,0.34
2013-05-19 1000,472.33,332.75,302.18,0.05,51.84,28.03,0.48
2013-05-19 1100,631.5,713.52,162.6,0.07,64.55,29.13,0.48
2013-05-19 1200,633.5,627.28,260.45,0.07,73.73,29.73,0.41
2013-05-19 1300,436.02,134.52,466.33,0.05,72.43,30.75,0.14
2013-05-19 1400,394.23,107.85,426.46,0.04,62.08,29.41,0.34
2013-05-19 1500,77.07,0,114.95,0.01,49.07,27.61,1.03
2013-05-19 1600,152.28,4.93,203.9,0.02,35.29,26.75,0.97
2013-05-19 1700,22.38,0,42.98,0,21.25,26.39,0.34
2013-05-19 1800,17.55,0,35.97,0,7.14,25.43,0.14
2013-05-19 1900,0,0,0,0,0,25.02,0.41
2013-05-19 2000,0,0,0,0,0,24.59,0.48
2013-05-19 2100,0,0,0,0,0,24.23,0.55
2013-05-19 2200,0,0,0,0,0,23.95,0.55
2013-05-19 2300,0,0,0,0,0,23.6,0.28
2013-05-20 0000,0,0,0,0,0,23.54,0.21
2013-05-20 0100,0,0,0,0,0,23.31,0.21
2013-05-20 0200,0,0,0,0,0,23.21,0.28
2013-05-20 0300,0,0,0,0,0,23.05,0.28
2013-05-20 0400,0,0,0,0,0,22.92,0
2013-05-20 0500,0,0,0,0,0,22.79,0.14
2013-05-20 0600,0,0,0,0,0,22.57,0.34
2013-05-20 0700,23.86,0,44.47,0,10.04,23.04,0.21
2013-05-20 0800,74.04,0,109.92,0.01,24.13,24.66,0.21
2013-05-20 0900,303.76,122.74,279.83,0.03,38.11,26.03,0.21
2013-05-20 1000,356.47,102.06,374.2,0.04,51.76,27.13,0.21
2013-05-20 1100,576.78,484.79,301.2,0.06,64.42,27.57,0.55
2013-05-20 1200,672.82,747.68,183.68,0.08,73.53,27.47,0.62
2013-05-20 1300,581.78,417.34,372.62,0.06,72.25,27.26,0.83
2013-05-20 1400,430.67,155.32,424.3,0.05,61.98,27.78,0.41
2013-05-20 1500,350.13,108.74,356.46,0.04,49.02,27.73,0.83
2013-05-20 1600,241.33,60.14,262.63,0.03,35.27,27.67,0.83
2013-05-20 1700,180.72,116.36,136.24,0.02,21.25,27.16,0.69
2013-05-20 1800,22.38,0,42.97,0,7.16,26.4,0.97
2013-05-20 1900,0,0,0,0,0,25.65,0.76
2013-05-20 2000,0,0,0,0,0,25.04,0.55
2013-05-20 2100,0,0,0,0,0,25.08,0.48
2013-05-20 2200,0,0,0,0,0,25.05,0.41
2013-05-20 2300,0,0,0,0,0,24.46,0.55
2013-05-21 0000,0,0,0,0,0,24.21,0.48
2013-05-21 0100,0,0,0,0,0,23.88,0.48
2013-05-21 0200,0,0,0,0,0,23.78,0.34
2013-05-21 0300,0,0,0,0,0,23.53,0.21
2013-05-21 0400,0,0,0,0,0,23.27,0.28
2013-05-21 0500,0,0,0,0,0,23.12,0.21
2013-05-21 0600,0,0,0,0,0,23.09,0.21
2013-05-21 0700,16.34,0,33.98,0,10.03,23.58,0.48
2013-05-21 0800,106.88,0,150.89,0.01,24.1,24.81,0.62
2013-05-21 0900,417.29,415.84,135.16,0.04,38.06,26.29,0.55
2013-05-21 1000,529.24,529.83,188.18,0.06,51.68,27.84,0.21
2013-05-21 1100,602.24,608.84,226.29,0.07,64.3,28.59,0.21
2013-05-21 1200,671.42,789.04,155.8,0.08,73.33,29.37,0.41
2013-05-21 1300,657.21,739.62,183.81,0.07,72.08,30.28,0.55
2013-05-21 1400,618.28,691.42,161.98,0.07,61.89,31.12,1.03
2013-05-21 1500,501.91,484.31,196.9,0.05,48.97,30.92,0.83
2013-05-21 1600,295.86,148.83,250.25,0.03,35.25,30.26,0.55
2013-05-21 1700,61.46,0,95.96,0.01,21.25,29.58,0.48
2013-05-21 1800,0.04,0,6,0,7.18,28.32,1.24
2013-05-21 1900,0,0,0,0,0,27.1,1.45
2013-05-21 2000,0,0,0,0,0,26.19,1.24
2013-05-21 2100,0,0,0,0,0,25.41,1.17
2013-05-21 2200,0,0,0,0,0,24.83,1.17
2013-05-21 2300,0,0,0,0,0,24.12,0.97
2013-05-22 0000,0,0,0,0,0,23.73,0.76
2013-05-22 0100,0,0,0,0,0,23.4,0.76
2013-05-22 0200,0,0,0,0,0,23.51,0.69
2013-05-22 0300,0,0,0,0,0,23.59,0.55
2013-05-22 0400,0,0,0,0,0,23.11,0.34
2013-05-22 0500,0,0,0,0,0,22.99,0.21
2013-05-22 0600,0,0,0,0,0,22.84,0.21
2013-05-22 0700,84.97,0,122.91,0.01,10.02,23.29,0.21
2013-05-22 0800,82.9,0,120.91,0.01,24.07,24.67,0.62
2013-05-22 0900,418.17,414.76,135.14,0.04,38.01,26.21,0.83
2013-05-22 1000,553.1,614.1,133.49,0.06,51.6,27.82,0.48
2013-05-22 1100,627.19,695.43,170.51,0.07,64.17,28.77,0.55
2013-05-22 1200,624.72,585.52,283.36,0.07,73.14,29.93,0.69
2013-05-22 1300,497.84,237.28,445.96,0.05,71.92,30.36,0.62
2013-05-22 1400,611.28,690.31,161.96,0.07,61.8,30.51,0.41
2013-05-22 1500,440.94,292.51,300.94,0.05,48.93,29.97,0.83
2013-05-22 1600,292.54,136.97,253.29,0.03,35.24,28.6,0.9
2013-05-22 1700,49.71,0,79.97,0.01,21.26,27.77,0.76
2013-05-22 1800,8.86,0,22.98,0,7.2,26.92,0.83
2013-05-22 1900,0,0,0,0,0,26.04,0.69
2013-05-22 2000,0,0,0,0,0,25.86,0.41
2013-05-22 2100,0,0,0,0,0,25.68,0.41
2013-05-22 2200,0,0,0,0,0,25.27,0.48
2013-05-22 2300,0,0,0,0,0,24.59,0.55
2013-05-23 0000,0,0,0,0,0,24.01,0.69
2013-05-23 0100,0,0,0,0,0,24.09,0.55
2013-05-23 0200,0,0,0,0,0,24.87,0.28
2013-05-23 0300,0,0,0,0,0,24.74,0.34
2013-05-23 0400,0,0,0,0,0,24.55,0.34
2013-05-23 0500,0,0,0,0,0,24.26,0.48
2013-05-23 0600,0,0,0,0,0,23.4,0.69
2013-05-23 0700,62.57,0,94.93,0.01,10,23.59,0.55
2013-05-23 0800,124.26,0,172.88,0.01,24.04,25.72,1.17
2013-05-23 0900,349.82,209.28,248.23,0.04,37.96,26.97,1.86
2013-05-23 1000,534.17,507.08,200.1,0.06,51.52,28.12,1.72
2013-05-23 1100,566.93,440.23,323.17,0.06,64.04,28.71,1.45
2013-05-23 1200,596.51,469.92,347.35,0.07,72.95,29.54,1.1
2013-05-23 1300,306.64,18.78,395.78,0.03,71.76,30.05,0.76
2013-05-23 1400,402.93,120.64,424.39,0.04,61.72,30.09,0.76
2013-05-23 1500,354.29,115.6,355.41,0.04,48.89,28.02,0.9
2013-05-23 1600,79.57,0,117.95,0.01,35.22,27.27,1.03
2013-05-23 1700,115.98,18.56,145.82,0.01,21.27,26.66,1.17
2013-05-23 1800,0.05,0,6,0,7.23,26.25,1.03
2013-05-23 1900,0,0,0,0,0,25.49,0.9
2013-05-23 2000,0,0,0,0,0,24.69,0.69
2013-05-23 2100,0,0,0,0,0,23.97,0.69
2013-05-23 2200,0,0,0,0,0,23.25,0.62
2013-05-23 2300,0,0,0,0,0,22.64,0.34
2013-05-24 0000,0,0,0,0,0,22.15,0.62
2013-05-24 0100,0,0,0,0,0,22.23,0.07
2013-05-24 0200,0,0,0,0,0,22.75,0.14
2013-05-24 0300,0,0,0,0,0,22.43,0.34
2013-05-24 0400,0,0,0,0,0,22.41,0.28
2013-05-24 0500,0,0,0,0,0,22.66,0.14
2013-05-24 0600,0,0,0,0,0,22.59,0
2013-05-24 0700,15.71,0,32.98,0,9.99,22.81,0.14
2013-05-24 0800,55.27,0,85.94,0.01,24,24.08,0.14
2013-05-24 0900,53.45,0,83.97,0.01,37.9,25.21,0.48
2013-05-24 1000,105.15,0,149.94,0.01,51.44,26.83,0.9
2013-05-24 1100,197.62,0,267.89,0.02,63.92,28.02,0.9
2013-05-24 1200,586.62,437.28,363.36,0.06,72.77,28.83,1.03
2013-05-24 1300,548.45,339.01,406.68,0.06,71.61,28.52,0.9
2013-05-24 1400,407.69,115.67,424.4,0.04,61.64,26.31,0.9
2013-05-24 1500,82.34,0,120.95,0.01,48.85,26.04,0.55
2013-05-24 1600,30.48,0,53.98,0,35.21,25.58,0.21
2013-05-24 1700,10.85,0,25.99,0,21.27,25.47,0.55
2013-05-24 1800,6.52,0,18.99,0,7.26,24.94,0.69
2013-05-24 1900,0,0,0,0,0,24.48,0.62
2013-05-24 2000,0,0,0,0,0,24.1,0.55
2013-05-24 2100,0,0,0,0,0,24.03,0.41
2013-05-24 2200,0,0,0,0,0,23.77,0.34
2013-05-24 2300,0,0,0,0,0,23.31,0.41
2013-05-25 0000,0,0,0,0,0,23.07,0.28
2013-05-25 0100,0,0,0,0,0,22.86,0.14
2013-05-25 0200,0,0,0,0,0,23.17,0.48
2013-05-25 0300,0,0,0,0,0,22.86,0.41
2013-05-25 0400,0,0,0,0,0,22.96,0.14
2013-05-25 0500,0,0,0,0,0,22.75,0.07
2013-05-25 0600,0,0,0,0,0,22.52,0
2013-05-25 0700,78.73,0,114.92,0.01,9.97,22.79,0.14
2013-05-25 0800,83.93,0,121.91,0.01,23.97,24.02,0.48
2013-05-25 0900,373.38,275.34,214.97,0.04,37.85,25.32,0.55
2013-05-25 1000,468.29,320.61,303.12,0.05,51.36,26.62,0.55
2013-05-25 1100,539,390.87,347.21,0.06,63.79,28,0.21
2013-05-25 1200,551,359.25,400.47,0.06,72.59,28.33,0.21
2013-05-25 1300,663.53,748.08,174.79,0.07,71.46,28.72,0.62
2013-05-25 1400,593.35,588.17,223.72,0.07,61.56,28.8,0.69
2013-05-25 1500,509.45,500.75,183.87,0.06,48.81,28.07,0.55
2013-05-25 1600,204.73,29.54,246.77,0.02,35.2,28.08,1.03
2013-05-25 1700,175.47,103.46,141.24,0.02,21.29,26.74,0.69
2013-05-25 1800,16.1,0,33.98,0,7.28,26.34,0.69
2013-05-25 1900,0,0,0,0,0,25.55,0.55
2013-05-25 2000,0,0,0,0,0,25.56,0.34
2013-05-25 2100,0,0,0,0,0,24.95,0.48
2013-05-25 2200,0,0,0,0,0,25.16,0.41
2013-05-25 2300,0,0,0,0,0,24.63,0.55
2013-05-26 0000,0,0,0,0,0,23.79,0.69
2013-05-26 0100,0,0,0,0,0,23.17,0.76
2013-05-26 0200,0,0,0,0,0,22.39,0.55
2013-05-26 0300,0,0,0,0,0,22.95,0.41
2013-05-26 0400,0,0,0,0,0,21.75,0.41
2013-05-26 0500,0,0,0,0,0,22.58,0.28
2013-05-26 0600,0,0,0,0,0,22.52,0.14
2013-05-26 0700,7.82,0,20.99,0,9.95,22.9,0.14
2013-05-26 0800,13.58,0,29.98,0,23.93,23.96,0.28
2013-05-26 0900,171.37,6.81,225.86,0.02,37.79,25.67,0.14
2013-05-26 1000,478.46,367.61,278.01,0.05,51.27,27.29,0.07
2013-05-26 1100,529.98,363.25,359.25,0.06,63.67,27.98,0.34
2013-05-26 1200,536.13,305.91,422.59,0.06,72.42,27.92,0.69
2013-05-26 1300,585.53,453.53,349.48,0.06,71.32,27.41,0.41
2013-05-26 1400,516.09,344.95,357.74,0.06,61.49,29.7,0.76
2013-05-26 1500,305.24,58.26,346.63,0.03,48.78,27.07,0.83
2013-05-26 1600,324.68,200.84,229.04,0.03,35.2,27.05,0.69
2013-05-26 1700,20.22,0,39.98,0,21.3,26.63,0.21
2013-05-26 1800,1.67,0,9.99,0,7.31,25.94,0.62
2013-05-26 1900,0,0,0,0,0,25.17,0.9
2013-05-26 2000,0,0,0,0,0,24.52,0.41
2013-05-26 2100,0,0,0,0,0,24.4,0.07
2013-05-26 2200,0,0,0,0,0,24.16,0.34
2013-05-26 2300,0,0,0,0,0,23.84,0.41
2013-05-27 0000,0,0,0,0,0,23.67,0.41
2013-05-27 0100,0,0,0,0,0,23.47,0.14
2013-05-27 0200,0,0,0,0,0,23.69,0.34
2013-05-27 0300,0,0,0,0,0,23.42,0.28
2013-05-27 0400,0,0,0,0,0,23.29,0.21
2013-05-27 0500,0,0,0,0,0,23.11,0.28
2013-05-27 0600,0,0,0,0,0,23.17,0.07
2013-05-27 0700,69.85,0,103.93,0.01,9.93,23.15,0.41
2013-05-27 0800,126.44,0,174.88,0.01,23.89,24.32,0.55
2013-05-27 0900,172.09,6.81,225.86,0.02,37.73,25.25,0.48
2013-05-27 1000,478.01,349.9,287.02,0.05,51.19,26.37,0.48
2013-05-27 1100,609.87,637.81,202.29,0.07,63.55,27.64,0.28
2013-05-27 1200,650.01,709.42,201.5,0.07,72.25,27.99,0.14
2013-05-27 1300,661.64,788.38,145.9,0.08,71.18,29,0.14
2013-05-27 1400,617.61,723.39,136.02,0.07,61.42,28.75,0.14
2013-05-27 1500,489.3,433.44,223.77,0.05,48.75,28.26,0.55
2013-05-27 1600,44.4,0,72.97,0.01,35.19,27.52,0.48
2013-05-27 1700,22.25,0,42.98,0,21.31,27.41,0.28
2013-05-27 1800,12.72,0,28.98,0,7.34,26.67,0.55
2013-05-27 1900,0,0,0,0,0,25.65,0.55
2013-05-27 2000,0,0,0,0,0,25.47,0.41
2013-05-27 2100,0,0,0,0,0,24.41,0.55
2013-05-27 2200,0,0,0,0,0,22.66,0.55
2013-05-27 2300,0,0,0,0,0,22.82,0.28
2013-05-28 0000,0,0,0,0,0,22.29,0.34
2013-05-28 0100,0,0,0,0,0,21.96,0.41
2013-05-28 0200,0,0,0,0,0,22.15,0.48
2013-05-28 0300,0,0,0,0,0,22.61,0.21
2013-05-28 0400,0,0,0,0,0,22.4,0.21
2013-05-28 0500,0,0,0,0,0,22.2,0.21
2013-05-28 0600,0,0,0,0,0,21.98,0.21
2013-05-28 0700,7.84,0,20.99,0,9.9,22.42,0.28
2013-05-28 0800,30.02,0,52.96,0,23.85,23.86,0.55
2013-05-28 0900,351.56,227.52,237.08,0.04,37.67,25.71,0.21
2013-05-28 1000,273.26,29.4,336.68,0.03,51.11,27.32,0.21
2013-05-28 1100,617.13,674.13,178.39,0.07,63.43,28.61,0.41
2013-05-28 1200,674.26,822.79,126.89,0.08,72.09,29.2,0.34
2013-05-28 1300,620.46,611.46,257.48,0.07,71.05,29.9,0.34
2013-05-28 1400,562.63,497.02,275.6,0.06,61.35,28.19,0.21
2013-05-28 1500,326.31,78.98,352.53,0.03,48.73,26.52,0.76
2013-05-28 1600,313.13,173.21,239.1,0.03,35.19,26.36,0.97
2013-05-28 1700,34.12,0,58.98,0,21.33,26.26,0.9
2013-05-28 1800,0.8,0,7.99,0,7.38,25.74,0.83
2013-05-28 1900,0,0,0,0,0,24.96,0.9
2013-05-28 2000,0,0,0,0,0,24.22,0.69
2013-05-28 2100,0,0,0,0,0,23.73,0.62
2013-05-28 2200,0,0,0,0,0,23.51,0.62
2013-05-28 2300,0,0,0,0,0,23.17,0.69
2013-05-29 0000,0,0,0,0,0,23.53,0.41
2013-05-29 0100,0,0,0,0,0,22.35,0.41
2013-05-29 0200,0,0,0,0,0,22.51,0.07
2013-05-29 0300,0,0,0,0,0,21.99,0.28
2013-05-29 0400,0,0,0,0,0,22.3,0.21
2013-05-29 0500,0,0,0,0,0,21.75,0.34
2013-05-29 0600,0,0,0,0,0,22.3,0.28
2013-05-29 0700,84.43,0,121.91,0.01,9.88,22.52,0
2013-05-29 0800,13.61,0,29.98,0,23.81,23.54,0
2013-05-29 0900,27.76,0,49.98,0,37.62,24.05,0.07
2013-05-29 1000,183.21,0.98,244.9,0.02,51.03,24.17,0.28
2013-05-29 1100,280.11,13.78,356.79,0.03,63.32,25.18,0.55
2013-05-29 1200,285.3,9.86,368.82,0.03,71.93,26.04,0.69
2013-05-29 1300,487.93,207.42,448.99,0.05,70.92,26.44,0.48
2013-05-29 1400,490.52,279.6,383.84,0.05,61.29,27.03,0.21
2013-05-29 1500,382.81,163.85,346.19,0.04,48.7,26.91,0.28
2013-05-29 1600,304.36,160.38,244.13,0.03,35.19,26.77,0.28
2013-05-29 1700,116.65,18.52,146.8,0.01,21.35,26.32,0.48
2013-05-29 1800,23.87,0,44.97,0,7.41,25.93,0.76
2013-05-29 1900,0,0,0,0,0,25.36,0.9
2013-05-29 2000,0,0,0,0,0,24.65,0.76
2013-05-29 2100,0,0,0,0,0,24.95,0.34
2013-05-29 2200,0,0,0,0,0,24.62,0.28
2013-05-29 2300,0,0,0,0,0,24.25,0.07
2013-05-30 0000,0,0,0,0,0,23.69,0.34
2013-05-30 0100,0,0,0,0,0,22.43,0.62
2013-05-30 0200,0,0,0,0,0,23.3,0.28
2013-05-30 0300,0,0,0,0,0,23.07,0.28
2013-05-30 0400,0,0,0,0,0,22.62,0.28
2013-05-30 0500,0,0,0,0,0,22.57,0.41
2013-05-30 0600,0,0,0,0,0,22.51,0.34
2013-05-30 0700,7.8,0,20.99,0,9.85,23.31,0.14
2013-05-30 0800,40.54,0,66.95,0.01,23.77,24.15,0.34
2013-05-30 0900,267.44,74.84,279.17,0.03,37.56,25.72,0.48
2013-05-30 1000,242.45,13.72,311.79,0.03,50.94,27.05,0.21
2013-05-30 1100,498.39,286.31,390.41,0.05,63.2,27.18,0.14
2013-05-30 1200,421.25,105.54,459.33,0.05,71.78,27.38,0.62
2013-05-30 1300,540.96,326.89,407.63,0.06,70.8,27.53,0.62
2013-05-30 1400,381.34,89.89,418.48,0.04,61.23,28.08,1.03
2013-05-30 1500,215.35,7.9,280.86,0.02,48.68,26.56,0.69
2013-05-30 1600,175.24,12.79,224.85,0.02,35.2,26.79,0.97
2013-05-30 1700,155.99,64.33,152.44,0.02,21.37,26.06,0.97
2013-05-30 1800,23.18,0,43.97,0,7.45,25.63,0.69
2013-05-30 1900,0,0,0,0,0,24.9,0.48
2013-05-30 2000,0,0,0,0,0,24.31,0.62
2013-05-30 2100,0,0,0,0,0,23.69,0.76
2013-05-30 2200,0,0,0,0,0,23.59,0.62
2013-05-30 2300,0,0,0,0,0,23.25,0.62
